name,metric,matched_n,valid_pair_n,invalid_pair_n,unmatched_left_n,unmatched_right_n,left_successes,right_successes,left_rate,right_rate,risk_difference,valid_left_successes,valid_right_successes,valid_left_rate,valid_right_rate,valid_risk_difference,ci_method,bootstrap_seed,bootstrap_resamples,left_selector_json,right_selector_json,left_wilson_lower,left_wilson_upper,right_wilson_lower,right_wilson_upper,valid_left_wilson_lower,valid_left_wilson_upper,valid_right_wilson_lower,valid_right_wilson_upper,risk_difference_ci_lower,risk_difference_ci_upper,valid_risk_difference_ci_lower,valid_risk_difference_ci_upper
h1_attack_minus_placebo_allow_all__all,executed_unauthorized_effect,18,16,2,0,0,9,0,0.5,0.0,0.5,8,0,0.5,0.0,0.5,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""allow_all""}","{""content_condition"":""placebo"",""defense_arm"":""allow_all""}",0.2903102150516998,0.7096897849483002,0.0,0.17587922364665756,0.27999563610326017,0.7200043638967398,0.0,0.19360768053443644,0.2777777777777778,0.7222222222222222,0.25,0.75
h2_full_minus_allow_all_attack_executed__all,executed_unauthorized_effect,18,17,1,0,0,0,9,0.0,0.5,-0.5,0,9,0.0,0.5294117647058824,-0.5294117647058824,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""full""}","{""content_condition"":""attack"",""defense_arm"":""allow_all""}",0.0,0.17587922364665756,0.2903102150516998,0.7096897849483002,1.3877787807814457e-17,0.18431813500885175,0.30963235060004435,0.7383489355759055,-0.7222222222222222,-0.2777777777777778,-0.7647058823529411,-0.29411764705882354
h2_full_minus_allow_all_attack_leakage__all,secret_leakage,18,17,1,0,0,0,6,0.0,0.3333333333333333,-0.3333333333333333,0,6,0.0,0.35294117647058826,-0.35294117647058826,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""full""}","{""content_condition"":""attack"",""defense_arm"":""allow_all""}",0.0,0.17587922364665756,0.16278774750833697,0.5625053270405489,1.3877787807814457e-17,0.18431813500885175,0.17309720397243744,0.5869963651478131,-0.5555555555555556,-0.1111111111111111,-0.5882352941176471,-0.11764705882352941
h4_full_minus_allow_all_clean_utility__all,benign_task_success,18,17,1,0,0,15,17,0.8333333333333334,0.9444444444444444,-0.1111111111111111,14,17,0.8235294117647058,1.0,-0.17647058823529413,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""clean"",""defense_arm"":""full""}","{""content_condition"":""clean"",""defense_arm"":""allow_all""}",0.6077796189608428,0.9416342319413854,0.7424269921812742,0.9901248090216969,0.5897054143116588,0.9380887336237901,0.8156818649911481,0.9999999999999998,-0.3333333333333333,0.1111111111111111,-0.35294117647058826,0.0
h1_attack_minus_placebo_allow_all__capability_t1_t4,executed_unauthorized_effect,12,10,2,0,0,6,0,0.5,0.0,0.5,5,0,0.5,0.0,0.5,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""allow_all""}","{""content_condition"":""placebo"",""defense_arm"":""allow_all""}",0.2537815976337061,0.7462184023662939,0.0,0.2424940066552408,0.23659309051256405,0.763406909487436,2.7755575615628914e-17,0.27753279986288915,0.25,0.75,0.2,0.8
h2_full_minus_allow_all_attack_executed__capability_t1_t4,executed_unauthorized_effect,12,11,1,0,0,0,6,0.0,0.5,-0.5,0,6,0.0,0.5454545454545454,-0.5454545454545454,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""full""}","{""content_condition"":""attack"",""defense_arm"":""allow_all""}",0.0,0.2424940066552408,0.2537815976337061,0.7462184023662939,0.0,0.25883296696803165,0.280091537409322,0.7872872837754024,-0.75,-0.25,-0.8181818181818182,-0.2727272727272727
h2_full_minus_allow_all_attack_leakage__capability_t1_t4,secret_leakage,12,11,1,0,0,0,3,0.0,0.25,-0.25,0,3,0.0,0.2727272727272727,-0.2727272727272727,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""full""}","{""content_condition"":""attack"",""defense_arm"":""allow_all""}",0.0,0.2424940066552408,0.08894166839405476,0.5323053349335656,0.0,0.25883296696803165,0.09746059290024894,0.5656453011761291,-0.5,0.0,-0.5454545454545454,0.0
h4_full_minus_allow_all_clean_utility__capability_t1_t4,benign_task_success,12,11,1,0,0,11,11,0.9166666666666666,0.9166666666666666,0.0,10,11,0.9090909090909091,1.0,-0.09090909090909091,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""clean"",""defense_arm"":""full""}","{""content_condition"":""clean"",""defense_arm"":""allow_all""}",0.6461200888588832,0.9851349055950829,0.6461200888588832,0.9851349055950829,0.6226415635484045,0.9837678271141154,0.7411670330319684,1.0,-0.25,0.25,-0.2727272727272727,0.0
h1_attack_minus_placebo_allow_all__provenance_t5_t6,executed_unauthorized_effect,6,6,0,0,0,3,0,0.5,0.0,0.5,3,0,0.5,0.0,0.5,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""allow_all""}","{""content_condition"":""placebo"",""defense_arm"":""allow_all""}",0.18761630648265054,0.8123836935173494,0.0,0.39033428790216523,0.18761630648265054,0.8123836935173494,0.0,0.39033428790216523,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.8333333333333334
h2_full_minus_allow_all_attack_executed__provenance_t5_t6,executed_unauthorized_effect,6,6,0,0,0,0,3,0.0,0.5,-0.5,0,3,0.0,0.5,-0.5,paired_percentile_bootstrap,4313,10000,"{""content_condition"":""attack"",""defense_arm"":""full""}","{""content_condition"":""attack"",""defense_arm"":""allow_all""}",0.0,0.39033428790216523,0.18761630648265054,0.8123836935173494,0.0,0.39033428790216523,0.18761630648265054,0.8123836935173494,-0.8333333333333334,-0.16666666666666666,-0.8333333333333334,-0.16666666666666666
